"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"16","272.6752153664572","18.19324259339251","4.9603281019871295","-0.3076594514774509","0.023193359375","0.02490234375","0.021484375","1300","0.0002617592034279923","0","0.0002617592034279923","0.0002617592034279923","16_8:0.004430326989730782;16_26:0.007766530302419472","16_8:660;16_26:660","true"
"17","361.60391226896263","322.28261356290346","4.820823460371974","-0.30970435909943395","0.0205078125","0.02978515625","0.01123046875","1300","0.0001271685283374618","0","0.0001271685283374618","0.0001271685283374618","17_30:0.008347985302436856","17_30:660","true"
"18","224.972814336646","93.55736020567261","4.788139278987067","-0.31063598977187784","0.103759765625","0.09423828125","0.11328125","1300","0.00016574937392390123","0","0.00016574937392390123","0.00016574937392390123","18_19:0.005330235834409808","18_19:660","true"
"19","457.2989832566368","121.10412402398936","4.7469924322616","-0.31072395279331844","0.083740234375","0.08154296875","0.0859375","1300","0.00013382545849159654","0","0.00013382545849159654","0.00013382545849159654","","","true"
"20","102.96586651264388","387.94525210627864","4.862313786651259","-0.3090978906556921","0.025146484375","0.0390625","0.01123046875","1300","0.00010607983899581919","0","0.00010607983899581919","0.00010607983899581919","20_33:0.05176337016760241;20_19:0.0036140752478803773","20_33:660;20_19:660","true"
"21","194.88551176422249","146.68490909782284","4.9664950331928335","-0.30694839478531033","0.011962890625","0.0048828125","0.01904296875","1300","0.001447821791582454","0","0.001447821791582454","0.001447821791582454","21_20:0.008770146393531963;21_22:0.034231248987221186","21_20:660;21_22:660","true"
"22","294.769915611968","163.47915161458388","5.038197876457438","-0.3065535436677073","0.014892578125","0.0185546875","0.01123046875","1300","0.00013874389778406945","0","0.00013874389778406945","0.00013874389778406945","22_23:0.006003167100639362","22_23:660","true"
"23","227.9062950683863","175.15628852641018","4.844974504703859","-0.309395699354676","0.018310546875","0.0224609375","0.01416015625","1300","0.0002590535357531572","0","0.0002590535357531572","0.0002590535357531572","","","true"
"24","247.10596651377435","119.6171321492539","5.100790397005483","-0.3054983979252499","0.14013671875","0.2529296875","0.02734375","1300","0.00019519959497737833","0","0.00019519959497737833","0.00019519959497737833","24_23:0.004271330343975088;24_34:0.18636530513876004","24_23:660;24_34:660","true"
"25","215.43562208361718","184.51976503340907","4.945232228281061","-0.3084275156167526","0.019287109375","0.0341796875","0.00439453125","1300","0.0001563228093741396","0","0.0001563228093741396","0.0001563228093741396","25_24:0.004142676795222677","25_24:660","true"
"26","262.82731240430456","229.07537722274574","4.854079644904046","-0.30976922795032275","0.0244140625","0.02978515625","0.01904296875","1300","0.0002482465761352806","0","0.0002482465761352806","0.0002482465761352806","26_25:0.010941876202267109","26_25:660","true"
"27","326.91858935625186","210.58541453921612","4.747574990089512","-0.31027519414312993","0.058349609375","0.0693359375","0.04736328125","1300","0.00009485053330169484","0","0.00009485053330169484","0.00009485053330169484","27_26:0.009265659107054347","27_26:660","true"
"28","184.8628789082947","97.23273371552837","4.99440242324861","-0.3073714140177614","0.04296875","0.06640625","0.01953125","1300","0.0004622070482819844","0","0.0004622070482819844","0.0004622070482819844","28_27:0.01133655044318943;28_29:0.02159394496278194;28_35:0.010583275995973251","28_27:660;28_29:660;28_35:660","true"
"29","239.84634888015935","245.87283533006783","4.6286491295706345","-0.3122408870668324","0.025390625","0.029296875","0.021484375","1300","0.0001392348151257541","0","0.0001392348151257541","0.0001392348151257541","","","true"
"30","278.5035536384346","68.30124842906642","4.732965719362059","-0.31090012417705765","0.010009765625","0.00830078125","0.01171875","1300","0.00028502006589471447","0","0.00028502006589471447","0.00028502006589471447","30_29:0.011526409506971091;30_31:0.007626397414693231","30_29:660;30_31:660","true"
"31","205.31704354720011","74.07145396451585","4.797666871392719","-0.31025628620305007","0.012451171875","0.00537109375","0.01953125","1300","0.00027353696751220897","0","0.00027353696751220897","0.00027353696751220897","31_32:0.007043447193793129","31_32:660","true"
"32","319.02656105546856","385.2408494439966","4.910386069926192","-0.3078794303810588","0.013671875","0.01806640625","0.00927734375","1300","0.00014238410136043617","0","0.00014238410136043617","0.00014238410136043617","32_36:0.004797685675645091","32_36:660","true"
"33","211.7518738485091","99.78091662582953","4.973179864912966","-0.3075486854907048","0.01708984375","0.013671875","0.0205078125","1300","0.0005634425186439235","0","0.0005634425186439235","0.0005634425186439235","33_39:0.00988432133630407","33_39:660","true"
"34","109.17768214586035","129.93413863039976","4.678636054063652","-0.3124338462946453","0.02978515625","0.02587890625","0.03369140625","1300","0.00033481369336907347","0","0.00033481369336907347","0.00033481369336907347","34_43:0.01257505439467127","34_43:660","true"
"35","325.97598815554755","150.94376716518144","4.907602427825297","-0.308301773576246","0.01708984375","0.01806640625","0.01611328125","1300","0.0002187483785753097","0","0.0002187483785753097","0.0002187483785753097","35_47:0.0060134447076445885","35_47:660","true"
"36","303.03790128680254","265.64888827760365","4.8122759352200895","-0.31175120998201256","0.022705078125","0.037109375","0.00830078125","1300","0.00013912637269560178","0","0.00013912637269560178","0.00013912637269560178","36_51:0.005965021535508042","36_51:660","true"
"37","230.56441942921467","114.29109336620024","4.837909740474339","-0.30886995110205334","0.01416015625","0.02099609375","0.00732421875","1300","0.0001581545981961825","0","0.0001581545981961825","0.0001581545981961825","37_38:0.00529041107316236","37_38:660","true"
"38","163.52148266124559","110.3878579886113","4.776679833049806","-0.31016511917022377","0.0205078125","0.0185546875","0.0224609375","1300","0.00017273390715902607","0","0.00017273390715902607","0.00017273390715902607","","","true"
"39","205.25662973839192","116.13574657428212","4.917369422541952","-0.30824769981735706","0.05078125","0.08056640625","0.02099609375","1300","0.00031657444022222236","0","0.00031657444022222236","0.00031657444022222236","39_38:0.00725367223676554","39_38:660","true"
"40","284.6918649890164","31.88832626666974","4.86820398819914","-0.30859152479413265","0.014892578125","0.0205078125","0.00927734375","1300","0.000199084506196641","0","0.000199084506196641","0.000199084506196641","40_41:0.005467396122721124;40_39:0.007099161025297784","40_41:660;40_39:660","true"
"41","289.93192996590494","225.76693539260916","4.93554356404785","-0.30862641143413133","0.017822265625","0.0234375","0.01220703125","1300","0.00012760454566610173","0","0.00012760454566610173","0.00012760454566610173","41_53:0.006625818256991212","41_53:660","true"
"42","258.8308751128855","157.87977297933736","5.063928457005725","-0.3066601274184393","0.0087890625","0.00732421875","0.01025390625","1300","0.00014242459464832837","0","0.00014242459464832837","0.00014242459464832837","42_41:0.005605505678455414;42_43:0.006577447185661445","42_41:660;42_43:660","true"
"43","182.73582050103005","244.12761239930066","4.829552892647809","-0.3101290706249939","0.0302734375","0.0478515625","0.0126953125","1300","0.0002705043898548703","0","0.0002705043898548703","0.0002705043898548703","43_44:0.007313782454409945","43_44:660","true"
"44","286.9441004028652","18.24030443414392","4.949171040166026","-0.3085061819189273","0.018798828125","0.02197265625","0.015625","1300","0.00025795173211982074","0","0.00025795173211982074","0.00025795173211982074","44_45:0.007816387811504566","44_45:660","true"
"45","102.98731307735318","22.174214224499547","4.999439570777192","-0.35905492913025383","0.052978515625","0.06298828125","0.04296875","1300","0.0007084279702363741","0","0.0007084279702363741","0.0007084279702363741","","","true"
"46","258.885363185362","206.07530501510902","4.853136127313077","-0.3093752065131216","0.01611328125","0.01171875","0.0205078125","1300","0.0002919350367409847","0","0.0002919350367409847","0.0002919350367409847","46_45:0.01721786874034409;46_47:0.005812767169640798","46_45:660;46_47:660","true"
"47","179.23508942285358","161.02055974585573","4.769537734046866","-0.3109329882546267","0.010498046875","0.0078125","0.01318359375","1300","0.00017300124584415882","0","0.00017300124584415882","0.00017300124584415882","","","true"
"48","243.76325951334388","75.47776970386508","4.844159296930073","-0.3101551740988557","0.015380859375","0.01513671875","0.015625","1300","0.00031707024029560587","0","0.00031707024029560587","0.00031707024029560587","48_47:0.01067837329649668;48_49:0.016414463637298093","48_47:660;48_49:660","true"
"49","230.5156184951991","54.22043741797738","4.697333027060798","-0.312183453636997","0.0078125","0.0087890625","0.0068359375","1300","0.0002838006351745557","0","0.0002838006351745557","0.0002838006351745557","","","true"
"50","299.4690895196352","44.156185719641385","4.784065216389066","-0.31049210238863767","0.02490234375","0.0283203125","0.021484375","1300","0.00047575492190957824","0","0.00047575492190957824","0.00047575492190957824","50_49:0.014160973168120372;50_51:0.012828751247248749","50_49:660;50_51:660","true"
"51","255.12138526047386","127.6016514363221","4.931195143259573","-0.3079514036835037","0.025634765625","0.0166015625","0.03466796875","1300","0.0002584377511588663","0","0.0002584377511588663","0.0002584377511588663","","","true"
"52","182.12876967570776","192.44265998383338","4.915268091888991","-0.30801090653647334","0.016357421875","0.0224609375","0.01025390625","1300","0.00018494763175810156","0","0.00018494763175810156","0.00018494763175810156","52_37:0.005209881776804537;52_56:0.005203685229454191","52_37:660;52_56:660","true"
"53","159.70682354614334","224.67048739121728","4.996701228091365","-0.30683792833129964","0.01513671875","0.02099609375","0.00927734375","1300","0.0005183226477215879","0","0.0005183226477215879","0.0005183226477215879","53_60:0.006531274526345554","53_60:660","true"
"54","176.29910006352682","123.8669858968454","4.96962461873921","-0.3069935236147513","0.015380859375","0.01220703125","0.0185546875","1300","0.00035910565323781104","0","0.00035910565323781104","0.00035910565323781104","54_64:0.009500850699809327;54_45:0.017837546871751375","54_64:660;54_45:660","true"
"55","166.76338166740422","106.3369925939882","4.837201893521209","-0.31038048092010345","0.013427734375","0.0107421875","0.01611328125","1300","0.0002033092414747132","0","0.0002033092414747132","0.0002033092414747132","55_68:0.005894861352663927;55_49:0.008605786377064273","55_68:660;55_49:660","true"
"56","324.8419961381407","157.300623971297","4.8145266476661215","-0.30974571553277236","0.017333984375","0.02099609375","0.013671875","1300","0.00012675304434785","0","0.00012675304434785","0.00012675304434785","56_57:0.010934253198549015","56_57:660","true"
"57","320.71932928777767","172.23943639352626","4.927636215797346","-0.30778611849622645","0.01953125","0.01416015625","0.02490234375","1300","0.0004339151384898319","0","0.0004339151384898319","0.0004339151384898319","57_58:0.007557678071049401","57_58:660","true"
"58","224.2069659272979","135.58952695997058","4.886914741135209","-0.30930018015034827","0.023681640625","0.03857421875","0.0087890625","1300","0.00016417005329429099","0","0.00016417005329429099","0.00016417005329429099","58_71:0.003852234494561124;58_59:0.0058738468626230445","58_71:660;58_59:660","true"
"59","197.23597592992166","48.429847597530156","4.971240983646933","-0.30762691104199297","0.0166015625","0.021484375","0.01171875","1300","0.00014041211246958998","0","0.00014041211246958998","0.00014041211246958998","59_60:0.006003356232499146","59_60:660","true"
"60","289.00735030584053","107.59349354950152","4.766228041500117","-0.31054248475500074","0.021240234375","0.02392578125","0.0185546875","1300","0.000330503165325797","0","0.000330503165325797","0.000330503165325797","60_61:0.015237280026594968","60_61:660","true"
"61","218.08184926614277","166.97799506067724","4.793929680818951","-0.29056402780855567","0.013916015625","0.013671875","0.01416015625","1300","0.0005520276728815359","0","0.0005520276728815359","0.0005520276728815359","","","true"
"62","257.9776461234543","228.00361483075716","4.935227577924499","-0.3079921198487331","0.015869140625","0.01513671875","0.0166015625","1300","0.00018305839906497285","0","0.00018305839906497285","0.00018305839906497285","62_72:0.010053667046926618;62_61:0.006950014686781358;62_63:0.010409438914445845","62_72:660;62_61:660;62_63:660","true"
"63","107.26114935274171","221.24182090329944","5.041629381337884","-0.30694631371315323","0.01123046875","0.00634765625","0.01611328125","1300","0.0005848630506509451","0","0.0005848630506509451","0.0005848630506509451","63_64:0.010314931017147089","63_64:660","true"
"64","85.47773454390841","90.94387003422801","4.821568151625261","-0.30967161679000116","0.013427734375","0.0068359375","0.02001953125","1300","0.00048719256815334366","0","0.00048719256815334366","0.00048719256815334366","","","true"
"65","240.96532563411847","87.89881116183558","4.95716283840736","-0.3075262411046977","0.013671875","0.017578125","0.009765625","1300","0.0001661219477147407","0","0.0001661219477147407","0.0001661219477147407","65_64:0.007905177344796621;65_66:0.006886086303267702","65_64:660;65_66:660","true"
"66","263.49528862726817","154.40327592491394","4.885003283440064","-0.3091067496263565","0.010986328125","0.01123046875","0.0107421875","1300","0.0002355894963703858","0","0.0002355894963703858","0.0002355894963703858","","","true"
"67","197.21898070581028","135.12956220408356","5.11394299354881","-0.3058889857295697","0.0673828125","0.05224609375","0.08251953125","1300","0.00030653950627710925","0","0.00030653950627710925","0.00030653950627710925","67_68:0.00835319349968322;67_66:0.009689448523172883","67_68:660;67_66:660","true"
"68","183.57618119247172","27.902416791276636","4.743755986637629","-0.31111458963233274","0.042724609375","0.03125","0.05419921875","1300","0.0001966310706388676","0","0.0001966310706388676","0.0001966310706388676","","","true"
"69","286.08160365991245","107.69084725414041","5.117688308169659","-0.3044028997353383","0.0263671875","0.02734375","0.025390625","1300","0.0002963741697293857","0","0.0002963741697293857","0.0002963741697293857","69_68:0.007402413235343186;69_70:0.008858057646147333","69_68:660;69_70:660","true"
"70","227.77890493156306","127.6444570742966","4.898861335636608","-0.3082399407301921","0.078125","0.08544921875","0.07080078125","1300","0.00019191158130660397","0","0.00019191158130660397","0.00019191158130660397","","","true"
"71","312.5912927128567","421.52068099566554","4.7882496146687785","-0.3094663460422399","0.0166015625","0.01904296875","0.01416015625","1300","0.00012538966106901382","0","0.00012538966106901382","0.00012538966106901382","","","true"
"72","209.44158477083923","126.12177005358197","5.059271507650144","-0.2985458699744989","0.0146484375","0.01416015625","0.01513671875","1300","0.00022583233104667318","0","0.00022583233104667318","0.00022583233104667318","","","true"
"73","153.1341586715532","143.77334349974717","4.979584192352369","-0.307607369486609","0.041748046875","0.04638671875","0.037109375","1300","0.00030295348669421055","0","0.00030295348669421055","0.00030295348669421055","73_66:0.006634619170027112","73_66:660","true"
"74","181.31505623904982","72.08056186918913","5.031462602993276","-0.3067427013413316","0.011474609375","0.0126953125","0.01025390625","1300","0.0004610950257010513","0","0.0004610950257010513","0.0004610950257010513","74_70:0.00837134715807536;74_89:0.01802802195580011","74_70:660;74_89:660","true"
"75","253.9845586308629","31.786431799914507","5.00608393105337","-0.30673349842246334","0.017822265625","0.0146484375","0.02099609375","1300","0.0002279445396045242","0","0.0002279445396045242","0.0002279445396045242","75_90:0.01046247603152195","75_90:660","true"
"76","82.85061822749763","40.09190294586086","4.837397958602822","-0.30948286299394656","0.013916015625","0.0146484375","0.01318359375","1300","0.0001265554148936315","0","0.0001265554148936315","0.0001265554148936315","76_75:0.007416920587588194","76_75:660","true"
"77","213.2055990419055","92.69650916853575","5.041931572803447","-0.30723078653018854","0.04638671875","0.05712890625","0.03564453125","1300","0.0002172235681696494","0","0.0002172235681696494","0.0002172235681696494","77_76:0.004451008038276305;77_78:0.008874803897913452;77_71:0.007219779329239839","77_76:660;77_78:780;77_71:660","true"
"78","239.42727865773858","172.86214345557454","4.643455107356276","-0.31230747337772335","0.013916015625","0.0107421875","0.01708984375","1300","0.00018707231603848378","0","0.00018707231603848378","0.00018707231603848378","","","true"
"79","283.32320949689466","75.24247637106046","4.863164547907876","-0.3092713261857367","0.01025390625","0.0107421875","0.009765625","1300","0.00015156294308372862","0","0.00015156294308372862","0.00015156294308372862","79_78:0.005439935267897544;79_80:0.005595983880606725","79_78:660;79_80:660","true"
"80","275.5546981485398","346.49164393003656","5.031462467068204","-0.3072198090686745","0.032958984375","0.02783203125","0.0380859375","1300","0.00013928582582522456","0","0.00013928582582522456","0.00013928582582522456","80_81:0.005679105036895449","80_81:660","true"
"81","286.2241001511559","283.8153159430731","4.930445697593661","-0.30841914125984865","0.049072265625","0.05029296875","0.0478515625","1300","0.0001811384636776814","0","0.0001811384636776814","0.0001811384636776814","81_82:0.005532671147451151;81_72:0.006902880421693958","81_82:660;81_72:660","true"
"82","223.35319710481426","238.90951923889125","4.893605875039818","-0.30897996872816896","0.023681640625","0.0244140625","0.02294921875","1300","0.00021943807171362283","0","0.00021943807171362283","0.00021943807171362283","82_83:0.0055190708204326255","82_83:660","true"
"83","228.6229963157408","52.95693688711334","4.790688923010211","-0.31061744032224003","0.026611328125","0.041015625","0.01220703125","1300","0.00018458340933355942","0","0.00018458340933355942","0.00018458340933355942","83_92:0.006576835872706355","83_92:660","true"
"84","175.16717811825873","118.63334914142149","4.679690940362013","-0.31137294267603616","0.014404296875","0.01025390625","0.0185546875","1300","0.00029438042503935116","0","0.00029438042503935116","0.00029438042503935116","84_83:0.00658163983524418","84_83:660","true"
"85","230.441033593432","216.42704655210161","5.104778792840738","-0.3061413803895981","0.020751953125","0.01513671875","0.0263671875","1300","0.00015786967956257675","0","0.00015786967956257675","0.00015786967956257675","85_73:0.005876468941463098;85_84:0.056937804175577506;85_86:0.00580340874958013","85_73:660;85_84:660;85_86:660","true"
"86","236.80436303390692","156.6379333180711","4.89881423714405","-0.3083187869423004","0.03564453125","0.033203125","0.0380859375","1300","0.00020754186890877465","0","0.00020754186890877465","0.00020754186890877465","86_87:0.026743705838902843","86_87:660","true"
"87","68.92213409376966","20.805669743057592","4.992090074028605","-0.307423102897223","0.02490234375","0.0166015625","0.033203125","1300","0.0018784385117681715","0","0.0018784385117681715","0.0018784385117681715","87_88:0.029119000338945544","87_88:660","true"
"88","195.85342207171058","131.69290081170254","5.09937675419546","-0.3058997453558384","0.009765625","0.00732421875","0.01220703125","1300","0.00046203982391353264","0","0.00046203982391353264","0.00046203982391353264","88_89:0.016471414657265204","88_89:660","true"
"89","344.9164050880771","127.97772029440976","4.956490825555376","-0.3077261951848229","0.009521484375","0.009765625","0.00927734375","1300","0.00043343310102579504","0","0.00043343310102579504","0.00043343310102579504","","","true"
"90","158.7168281498922","45.49047726641262","4.905589360978312","-0.307867793738734","0.007568359375","0.00537109375","0.009765625","1300","0.0002612769527261411","0","0.0002612769527261411","0.0002612769527261411","","","true"
"91","49.006349275914296","95.15516987413764","4.914641031916575","-0.30850221183732857","0.02978515625","0.0283203125","0.03125","1300","0.002115166738795959","0","0.002115166738795959","0.002115166738795959","91_79:0.012611606721296853","91_79:660","true"
"92","122.77119277722097","119.92207588741799","4.91209831011135","-0.308588011384664","0.013427734375","0.01416015625","0.0126953125","1300","0.00028641376142806975","0","0.00028641376142806975","0.00028641376142806975","92_102:0.008952402042158691","92_102:660","true"
"93","241.22932100358884","92.07084953022672","4.964128684832499","-0.3073815906362206","0.037841796875","0.0380859375","0.03759765625","1300","0.0007078307907336304","0","0.0007078307907336304","0.0007078307907336304","93_106:0.012869874413657334;93_87:0.041936034309838444","93_106:660;93_87:740","true"
"94","166.17931899381438","129.86016564941232","4.975880949420979","-0.3076458715160733","0.0146484375","0.02001953125","0.00927734375","1300","0.00019887752517386682","0","0.00019887752517386682","0.00019887752517386682","94_95:0.008903813079687961;94_90:0.009473561357853433","94_95:660;94_90:660","true"
"95","178.28546377281174","94.89693938833044","4.8388880176376885","-0.3098764431196092","0.02197265625","0.00830078125","0.03564453125","1300","0.0001929110026246579","0","0.0001929110026246579","0.0001929110026246579","95_96:0.007391752074009772","95_96:660","true"
"96","370.5129414226017","88.79625516949287","4.747911397990863","-0.3109191907797597","0.034912109375","0.02978515625","0.0400390625","1300","0.0001708289463744388","0","0.0001708289463744388","0.0001708289463744388","","","true"
"97","191.7726368615648","71.85605540180181","4.816155515549707","-0.3095561501235201","0.011474609375","0.00439453125","0.0185546875","1300","0.0005154720576464526","0","0.0005154720576464526","0.0005154720576464526","97_96:0.008067627582853565;97_98:0.014545397712139863","97_96:660;97_98:660","true"
"98","255.10332882198966","103.73945507122586","4.942901833015315","-0.308363471215884","0.01171875","0.01123046875","0.01220703125","1300","0.0003189250556957397","0","0.0003189250556957397","0.0003189250556957397","98_91:0.01627440622850196","98_91:660","true"
"99","270.80013198172924","239.9383690044537","5.060106822614226","-0.30553728570536653","0.0166015625","0.025390625","0.0078125","1300","0.00027912636261356443","0","0.00027912636261356443","0.00027912636261356443","99_98:0.007668232508011852","99_98:660","true"
"100","197.96831418135469","182.21595997974535","4.905355572343165","-0.3084392241160231","0.017578125","0.025390625","0.009765625","1300","0.00027877063058526376","0","0.00027877063058526376","0.00027877063058526376","100_110:0.009070513711083306;100_99:0.02495845951579606","100_110:660;100_99:660","true"
"101","255.16529591935512","283.08328415110793","5.0653597605989376","-0.3063331480679172","0.024169921875","0.0380859375","0.01025390625","1300","0.0001898597387013798","0","0.0001898597387013798","0.0001898597387013798","101_100:0.009700092518434178;101_102:0.006259465733312042","101_100:660;101_102:660","true"
"102","201.84319536989054","208.9185793913315","4.809844386479354","-0.30996470519230634","0.07080078125","0.064453125","0.0771484375","1300","0.00024304955475352427","0","0.00024304955475352427","0.00024304955475352427","102_103:0.006943998830447717","102_103:660","true"
"103","231.09668575263177","77.92034255057708","4.933467696589987","-0.30764620230723944","0.007080078125","0.00830078125","0.005859375","1300","0.00018926910629604306","0","0.00018926910629604306","0.00018926910629604306","","","true"
"104","209.4363072547901","191.1791213986942","4.765569957701215","-0.31046094866074025","0.0166015625","0.01611328125","0.01708984375","1300","0.00025064681518476603","0","0.00025064681518476603","0.00025064681518476603","104_103:0.006606854821050057","104_103:660","true"
"105","92.81143281394377","82.96623501067808","4.982215131728165","-0.30759736332542964","0.00927734375","0.00439453125","0.01416015625","1300","0.004342842404682887","0","0.004342842404682887","0.004342842404682887","105_104:0.014742897454388726;105_106:0.020852081535720823","105_104:660;105_106:660","true"
"106","247.71359572008996","84.12002028496924","4.878213049570025","-0.309312950580174","0.055419921875","0.02783203125","0.0830078125","1300","0.0038933615014163985","0","0.0038933615014163985","0.0038933615014163985","","","true"
"107","179.0266585505451","52.15450486076414","4.916024497767335","-0.3080022405881546","0.01953125","0.0146484375","0.0244140625","1300","0.0014542618602374907","0","0.0014542618602374907","0.0014542618602374907","107_106:0.018444639946557706","107_106:660","true"
"108","115.24375746656892","123.65408016081102","5.056238427998427","-0.3060067460745893","0.02734375","0.01806640625","0.03662109375","1300","0.00023508655375658352","0","0.00023508655375658352","0.00023508655375658352","108_112:0.00887599571885328;108_107:0.015655478384472676","108_112:660;108_107:660","true"
"109","239.62570766052312","259.5806135058663","4.984989298451822","-0.3071158019842663","0.02783203125","0.0302734375","0.025390625","1300","0.0001608199120824959","0","0.0001608199120824959","0.0001608199120824959","109_96:0.0064798886687642","109_96:660","true"
"110","220.61743201371777","282.72020263749283","4.830168031930838","-0.3090472310608016","0.0126953125","0.0126953125","0.0126953125","1300","0.0002526426083764361","0","0.0002526426083764361","0.0002526426083764361","110_118:0.011050642074430406","110_118:660","true"
"111","271.9223473056553","257.5308991692508","4.853171478849851","-0.30961255187582126","0.015869140625","0.0146484375","0.01708984375","1300","0.00016279422537038865","0","0.00016279422537038865","0.00016279422537038865","111_104:0.0062897018772190005","111_104:660","true"
"112","106.68849259649323","29.853511395548562","5.002444176264101","-0.3061965297474003","0.008544921875","0.00537109375","0.01171875","1300","0.0003634100209321288","0","0.0003634100209321288","0.0003634100209321288","112_126:0.007626541896070815","112_126:660","true"
"113","251.13259323491235","208.52384158006345","5.031999310090885","-0.30676917589658537","0.010498046875","0.00830078125","0.0126953125","1300","0.0002899093424928506","0","0.0002899093424928506","0.0002899093424928506","113_114:0.006392375809649131","113_114:660","true"
"114","340.59412110967816","54.06061597339939","4.822460552153238","-0.30937991952553456","0.15185546875","0.181640625","0.1220703125","1300","0.00013895621693095598","0","0.00013895621693095598","0.00013895621693095598","114_109:0.005145124285416969;114_115:0.00889469131760856","114_109:660;114_115:660","true"
"115","209.13581982272257","107.43422444082768","5.028019381071516","-0.3068193442669031","0.016845703125","0.01416015625","0.01953125","1300","0.00021879220391977144","0","0.00021879220391977144","0.00021879220391977144","","","true"
